NeighborhoodName,City,State,CountyName,2018-1,2018-2,2018-3,2018-04,2018-05,2018-06
Mission District,San Francisco,CA,San Francisco,3200,3250,3195,3403,3481,3350
Downtown,San Francisco,CA,San Francisco,2855,2950,3090,3030,3095,3095
Pacific Heights,San Francisco,CA,San Francisco,3500,3497.5,3595,3695,3719.5,3749
Nob Hill,San Francisco,CA,San Francisco,2862.5,2800,2795,2795,2795,2700
South of Market,San Francisco,CA,San Francisco,3550,3709,3729,3665,3667.5,3650
Russian Hill,San Francisco,CA,San Francisco,3495,3447.5,3345,3474,3395,3350
Hayes Valley,San Francisco,CA,San Francisco,3965,4205,3985,4050,4175,4130
Marina,San Francisco,CA,San Francisco,3300,3286.5,3274,3300,3400,3400
Lower Pacific Heights,San Francisco,CA,San Francisco,3200,3225,3307,3358,3296,3275
South Beach,San Francisco,CA,San Francisco,3800,3900,3897.5,3900,3950,3925
Van Ness - Civic Center,San Francisco,CA,San Francisco,3259,3253.5,3500,3563,3500,3500
Mission Bay,San Francisco,CA,San Francisco,3699,3798,3975.5,4013,4088.5,4092.5
Yerba Buena Gardens,San Francisco,CA,San Francisco,3495,3450,3620.5,3672.5,3505,3625
