Neighborhood,City,State,2018-07
Hayes Valley,San Francisco,CA,"3030"
Van Ness - Civic Center,San Francisco,CA,"2977"
Tenderloin,San Francisco,CA,"2977"
Downtown,San Francisco,CA,"3040"
Western Addition,San Francisco,CA,"2989"
Marina,San Francisco,CA,"2948"
Russian Hill,San Francisco,CA,"2954"
Lower Pacific Heights,San Francisco,CA,"2963"
Nob Hill,San Francisco,CA,"3050"
Pacific Heights,San Francisco,CA,"2973"
Noe Valley,San Francisco,CA,"2818"
Stonestown,San Francisco,CA,"2640"
Merced Heights,San Francisco,CA,"2640"
Lakeside,San Francisco,CA,"2640"
North of Panhandle,San Francisco,CA,"3048"
Alamo Square,San Francisco,CA,"3048"
Telegraph Hill,San Francisco,CA,"3055"
North Beach,San Francisco,CA,"3055"
Anza Vista,San Francisco,CA,"3099"
Glen Park,San Francisco,CA,"2967"
Forest Knolls,San Francisco,CA,"3005"
Sunnyside,San Francisco,CA,"3039"
Financial District,San Francisco,CA,"3472"
Mission Dolores Park,San Francisco,CA,"3389"
Twin Peaks,San Francisco,CA,"3154"
South of Market,San Francisco,CA,"3490"
Potrero Hill,San Francisco,CA,"3490"
Lone Mountain,San Francisco,CA,"3283"
Golden Gate Park,San Francisco,CA,"3283"
Yerba Buena Gardens,San Francisco,CA,"3563"
Presidio Heights,San Francisco,CA,"3484"
Lake Street,San Francisco,CA,"3484"
Jordan Park,San Francisco,CA,"3484"
Richmond District,San Francisco,CA,"3484"
South Beach,San Francisco,CA,"3646"
Mission Bay,San Francisco,CA,"3711"
